Estacion,count,mean,std,min,25%,50%,75%,max
Balalaika,1976.0,30.182834008097167,17.178645167390712,1.0,15.364999999999998,28.799999999999997,40.8275,116.0
Centro,1507.0,28.59879230258792,15.472955899812753,0.0,18.94,25.58,34.935,149.59
Centro Urbano,817.0,30.568604651162794,14.045535549915815,3.65,18.95,30.24,40.1,75.16
Cuenca Rio Risaralda,743.0,22.803606998654104,10.554085177134223,0.0,15.61,21.4,27.875,73.31
